Round	目標順位	目標得点	初期得点	実施日時	アーカイブ
TCO10 Qual 1	20	247.76	250?	2010-05-02 12:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14294
TCO10 Qual 1	20	463.58	500	2010-05-02 12:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14294
TCO10 Qual 1	20	461.42	1000	2010-05-02 12:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14294
TCO10 Qual 2	20	236.09	250	2010-05-12 07:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14277
TCO10 Qual 2	20	395.58	500	2010-05-12 07:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14277
TCO10 Qual 2	20	581.56	1000	2010-05-12 07:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14277
TCO10 Qual 3	20	245.87	250	2010-05-24 21:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14278
TCO10 Qual 3	20	437.17	500	2010-05-24 21:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14278
TCO10 Qual 3	20	719.9	1000	2010-05-24 21:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14278
TCO10 Round 1	20	247.81	250	2010-06-19 12:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14279
TCO10 Round 1	20	431.46	500	2010-06-19 12:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14279
TCO10 Round 1	20	691.24	1000	2010-06-19 12:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14279
TCO10 Round 2	20	240.86	250	2010-06-26 12:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14280
TCO10 Round 2	20	446.74	500	2010-06-26 12:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14280
TCO10 Round 2	20	0.0	1000	2010-06-26 12:02	http://community.topcoder.com/stat?c=round_overview&er=20&rd=14280
TCO10 Round 3	75	177.1	250	2010-07-10 12:02	http://community.topcoder.com/stat?c=round_overview&er=75&rd=14281
TCO10 Round 3	75	0.0	500	2010-07-10 12:02	http://community.topcoder.com/stat?c=round_overview&er=75&rd=14281
TCO10 Round 3	75	0.0	1000	2010-07-10 12:02	http://community.topcoder.com/stat?c=round_overview&er=75&rd=14281
TCO10 Round 4	30	239.01	250	2010-07-24 12:02	http://community.topcoder.com/stat?c=round_overview&er=30&rd=14282
TCO10 Round 4	30	0.0	500	2010-07-24 12:02	http://community.topcoder.com/stat?c=round_overview&er=30&rd=14282
